ID	Name	icon	type	Maxlv	spell1	spell2	spell3	cd	times	basic	damage1	damage2	damage3	buff	stiff	descr
220000	攻击	220000	1	1	0	0	0	1	1	1	100	100	100	0	0	双手举起大刀，对准敌人，眯着眼睛，砍下去吧。
220001	火球术	220001	2	3	3	4	6	1	1	8	100	110	130	0	0	召唤一个小火球灼烧目标
220002	治愈术	220002	3	3	4	5	7	1	0	0	0	0	0	1	0	道尊运用的自然之力，为目标恢复生命力
220003	基本剑术	220003	1	3	0	0	0	1	1	8	100	110	130	0	0	战士入门剑法
220004	精神力战法	220004	3	3	3	4	6	1	1	8	100	110	130	0	0	道尊对自然的冥想，提升攻击力
220005	大火球	220005	2	3	4	5	7	1	1	10	110	120	140	0	0	将火球凝聚并压缩到高速旋转，对目标进行剧烈伤害
220006	攻杀剑术	220006	1	3	0	0	0	1	1	15	110	120	140	0	0	基本剑术大成之后可修攻杀，杀伤力更强
220007	施毒术	220007	3	3	4	6	8	5	0	0	0	0	0	101	0	对目标放毒，目标中毒后将削减防御并持续受到伤害
220008	抗拒火环	220008	2	3	8	12	16	1	0	0	0	0	0	0	0	作者才尽了…
220009	地狱寒冰	220009	2	3	10	13	16	1	0	0	0	0	0	0	0	作者才尽了…
220010	雷电术	220010	2	3	10	12	15	1	1	17	130	140	170	0	800	召唤天雷审判目标
220011	疾光电影	220011	2	3	15	17	20	2	2	15	100	110	120	0	500	凝聚自身魔力，打击前方目标
220012	灵魂火符	220012	3	3	5	7	9	1	1	15	130	140	170	0	400	召唤灵符对目标进行打击，随道术提升而提升伤害
220013	幽灵盾	220013	3	3	15	18	22	1	0	0	0	0	0	3	0	提升目标的魔法防御
220014	神圣战甲	220014	3	3	15	18	22	1	0	0	0	0	0	4	0	提升目标的物理防御
220015	刺杀剑术	220015	1	3	2	3	5	3	1	35	150	170	200	0	0	观枪术而悟，对敌人造成深层伤害
220016	困魔咒	220021	3	3	300	310	320	6	1	0	10	20	30	0	3500	作者才尽了…
220017	亡灵召唤	220017	3	3	16	20	25	10	0	0	0	0	0	0	0	召唤亡灵界的骷髅辅助战斗
220018	隐身术	220018	3	3	5	7	9	3	0	0	0	0	0	0	0	运用符咒将自身隐遁，移动或攻击则隐身失效
220019	集体隐身术	220019	3	3	10	14	18	3	0	0	0	0	0	0	0	作者才尽了…
220020	诱惑之光	0	2	3	3	4	5	1	0	0	0	0	0	0	0	作者才尽了…
220021	瞬息移动	0	2	3	10	12	14	2	0	0	0	0	0	0	0	作者才尽了…
220022	附体之炎	220022	2	3	15	17	20	5	0	0	0	0	0	102	0	召唤火焰附着于目标，对目标产生持续性伤害
220023	爆裂火焰	220023	2	3	15	17	20	2	2	14	80	90	110	0	0	召唤火焰燃烧目标周围空间，对目标产生多次伤害
220024	地狱雷光	220024	2	3	100	130	180	4	4	35	60	70	90	0	1000	召唤雷云风暴，对目标进行多次审判
220025	半月弯刀	220025	1	3	9	11	15	2	4	20	60	70	90	0	0	刀光如水幕，对敌人造成多次伤害
220026	烈火剑法	220026	1	3	12	14	17	5	1	35	240	280	350	0	0	凝聚全身怒气发出攻击，造成巨大伤害
220027	野蛮冲撞	220027	1	3	300	310	320	10	1	0	10	20	30	0	5000	作者才尽了…
220028	心灵启示	0	3	3	16	20	25	2	0	0	0	0	0	0	0	敞开心灵，呼唤自然之力，看穿一切虚妄
220029	群体治疗术	220029	3	3	150	180	240	2	0	0	0	0	0	2	0	呼唤水木精灵，使一定范围内所有人加速恢复生命力
220030	召唤神兽	220030	3	3	150	180	240	10	0	0	0	0	0	0	0	召唤天界神兽辅助战斗
220031	魔法盾	220031	2	3	60	80	130	10	0	0	0	0	0	5	0	凝魔成铠
220032	圣言术	0	2	3	50	70	100	4	0	0	0	0	0	0	0	作者才尽了…
220033	冰咆哮	220033	2	3	20	23	28	4	4	30	70	80	100	0	0	召唤强力的冰雪风暴对目标造成剧烈伤害
220034	战神守护	220034	1	3	150	200	300	10	0	0	0	0	0	6	0	呼唤逝去的先祖，获得赐福，大幅减少伤害
220035	逐日剑法	220035	1	3	50	70	110	5	2	40	150	170	200	0	0	如太阳般地炙热剑芒，见者无不沉迷
220036	开天斩	0	1	3	70	90	130	5	1	45	300	340	400	0	500	传说盘古就是用开天斩开混沌，分天地
220037	火球术	220001	2	3	30	40	60	1	1	8	100	110	130	0	0	火焰戒指：召唤一个小火球灼烧目标
